# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
 359,  -2.430,   1.456,   0.000,   0.794,   0.829,   0.000,  0,   0.000,   11,    3,    1,    7,    8
 191,   2.430,   1.456,   0.000,   0.794,   0.829,   0.000,  0,   0.000,    5,    1,    1,   12,    8
 190,   3.405,   1.456,   0.000,   0.759,   0.829,   0.000,  0,   0.000,    5,    1,    2,   13,    8
 189,   4.379,   1.456,   0.000,   0.724,   0.829,   0.000,  0,   0.000,    5,    1,    3,   14,    8
 188,   5.354,   1.456,   0.000,   0.689,   0.829,   0.000,  0,   0.000,    5,    1,    4,   15,    8
 187,   6.328,   1.456,   0.000,   0.654,   0.829,   0.000,  0,   0.000,    5,    1,    4,   16,    8
 186,   7.303,   1.456,   0.000,   0.619,   0.829,   0.000,  0,   0.000,    5,    1,    5,   17,    8
 185,   8.277,   1.456,   0.000,   0.583,   0.829,   0.000,  0,   0.000,    5,    1,    6,   18,    8
 184,   9.252,   1.456,   0.000,   0.548,   0.829,   0.000,  0,   0.000,    5,    1,    7,   19,    8
 360,  -9.252,   0.481,   0.000,   0.548,   0.864,   0.000,  0,   0.000,   11,    3,    7,    0,    9
 361,  -8.277,   0.481,   0.000,   0.583,   0.864,   0.000,  0,   0.000,   11,    3,    6,    1,    9
 362,  -7.303,   0.481,   0.000,   0.619,   0.864,   0.000,  0,   0.000,   11,    3,    5,    2,    9
 363,  -6.328,   0.481,   0.000,   0.654,   0.864,   0.000,  0,   0.000,   11,    3,    4,    3,    9
 364,  -5.354,   0.481,   0.000,   0.689,   0.864,   0.000,  0,   0.000,   11,    3,    3,    4,    9
 365,  -4.379,   0.481,   0.000,   0.724,   0.864,   0.000,  0,   0.000,   11,    3,    2,    5,    9
 366,  -3.405,   0.481,   0.000,   0.759,   0.864,   0.000,  0,   0.000,   11,    3,    1,    6,    9
 367,  -2.430,   0.481,   0.000,   0.794,   0.864,   0.000,  0,   0.000,   11,    3,    0,    7,    9
 183,   2.430,   0.481,   0.000,   0.794,   0.864,   0.000,  0,   0.000,    5,    1,    0,   12,    9
 182,   3.405,   0.481,   0.000,   0.759,   0.864,   0.000,  0,   0.000,    5,    1,    1,   13,    9
 181,   4.379,   0.481,   0.000,   0.724,   0.864,   0.000,  0,   0.000,    5,    1,    2,   14,    9
 180,   5.354,   0.481,   0.000,   0.689,   0.864,   0.000,  0,   0.000,    5,    1,    3,   15,    9
 179,   6.328,   0.481,   0.000,   0.654,   0.864,   0.000,  0,   0.000,    5,    1,    4,   16,    9
 178,   7.303,   0.481,   0.000,   0.619,   0.864,   0.000,  0,   0.000,    5,    1,    5,   17,    9
 177,   8.277,   0.481,   0.000,   0.583,   0.864,   0.000,  0,   0.000,    5,    1,    6,   18,    9
 176,   9.252,   0.481,   0.000,   0.548,   0.864,   0.000,  0,   0.000,    5,    1,    7,   19,    9
 368,  -9.252,  -0.481,   0.000,   0.548,   0.864,   0.000,  0,   0.000,   11,    3,    7,    0,   10
 369,  -8.277,  -0.481,   0.000,   0.583,   0.864,   0.000,  0,   0.000,   11,    3,    6,    1,   10
 370,  -7.303,  -0.481,   0.000,   0.619,   0.864,   0.000,  0,   0.000,   11,    3,    5,    2,   10
 371,  -6.328,  -0.481,   0.000,   0.654,   0.864,   0.000,  0,   0.000,   11,    3,    4,    3,   10
 372,  -5.354,  -0.481,   0.000,   0.689,   0.864,   0.000,  0,   0.000,   11,    3,    3,    4,   10
 373,  -4.379,  -0.481,   0.000,   0.724,   0.864,   0.000,  0,   0.000,   11,    3,    2,    5,   10
 374,  -3.405,  -0.481,   0.000,   0.759,   0.864,   0.000,  0,   0.000,   11,    3,    1,    6,   10
